file_name,prompt
poplars-at-giverny.jpg!Large.jpg,An artwork by Claude Monet.
madame-monet-and-child(1).jpg!Large.jpg,An artwork by Claude Monet.
the-road-from-chailly-to-fontainebleau.jpg!Large.jpg,An artwork by Claude Monet.
the-japanese-bridge-at-giverny-1926.jpg!Large.jpg,An artwork by Claude Monet.
water-lilies-1919-9.jpg!Large.jpg,An artwork by Claude Monet.
antibes-in-the-morning(1).jpg!Large.jpg,An artwork by Claude Monet.
water-lily-pond-1.jpg!Large.jpg,An artwork by Claude Monet.
boatyard-near-honfleur.jpg!Large.jpg,An artwork by Claude Monet.
haystack-at-giverny-1886.jpg!Large.jpg,An artwork by Claude Monet.
three-trees-in-grey-weather.jpg!Large.jpg,An artwork by Claude Monet.
women-in-the-garden.jpg!Large.jpg,An artwork by Claude Monet.
the-japanis-bridge-footbridge-over-the-water-lily-pond-1924.jpg!Large.jpg,An artwork by Claude Monet.
haystacks-at-giverny.jpg!Large.jpg,An artwork by Claude Monet.
the-pointe-of-heve-1864.jpg!Large.jpg,An artwork by Claude Monet.
waterloo-bridge-london-1.jpg!Large.jpg,An artwork by Claude Monet.
impression-sunrise.jpg!Large.jpg,An artwork by Claude Monet.
water-lilies-evening-effect-1899.jpg!Large.jpg,An artwork by Claude Monet.
flowering-trees-near-the-coast-1926.jpg!Large.jpg,An artwork by Claude Monet.
autumn-on-the-seine-at-argenteuil.jpg!Large.jpg,An artwork by Claude Monet.
houses-of-parliament.jpg!Large.jpg,An artwork by Claude Monet.
