file_name,prompt
the-woodcutter-after-millet-1890.jpg!Large.jpg,An artwork by Van Gogh.
portrait-of-doctor-gachet-1890.jpg!Large.jpg,An artwork by Van Gogh.
landscape-with-house-and-ploughman-1889(2).jpg!Large.jpg,An artwork by Van Gogh.
the-church-at-auvers-1890.jpg!Large.jpg,An artwork by Van Gogh.
prisoners-exercising-prisoners-round-1890.jpg!Large.jpg,An artwork by Van Gogh.
sower-with-setting-sun-1888-3.jpg!Large.jpg,An artwork by Van Gogh.
paul-gauguin-s-armchair-1888.jpg!Large.jpg,An artwork by Van Gogh.
the-starry-night.jpg!Large.jpg,An artwork by Van Gogh.
wheat-fields-at-auvers-under-clouded-sky-1890.jpg!Large.jpg,An artwork by Van Gogh.
the-potato-eaters-1885-1.jpg!Large.jpg,An artwork by Van Gogh.
self-portrait-with-bandaged-ear-1889.jpg!Large.jpg,An artwork by Van Gogh.
young-peasant-girl-in-a-straw-hat-sitting-in-front-of-a-wheatfield-1890.jpg!Large.jpg,An artwork by Van Gogh.
wild-roses-1890.jpg!Large.jpg,An artwork by Van Gogh.
village-street-and-steps-in-auvers-with-two-figures-1890.jpg!Large.jpg,An artwork by Van Gogh.
antique-3840759.jpg!Large.jpg,An artwork by Van Gogh.
red-vineyards-at-arles-1888.jpg!Large.jpg,An artwork by Van Gogh.
still-life-vase-with-fifteen-sunflowers-1888-1.jpg!Large.jpg,An artwork by Van Gogh.
white-house-at-night.jpg!Large.jpg,An artwork by Van Gogh.
wheatfield-with-crows-1890.jpg!Large.jpg,An artwork by Van Gogh.
alcohol-3840756.jpg!Large.jpg,An artwork by Van Gogh.
